id,name,region,level,effect,group,calorie,pair,place,time,grouptime,instrument,tip,gifname,,,,,,,
a134,肩部深层激活,shoulder,S,warmup,10,2,no,home.office.gym.outside,3,30,no,双腿分开坐在椅子上，身体保持正直，挺胸，收紧腹部，手臂前平举，握拳且拇指朝上，向后平行拉手臂，固定肩部向上转动手臂，拇指向后指,a134,,,,,,,
a135,上斜俯卧撑,shoulder,S,strongmuscle,10,3,no,home.office.gym.outside,3,30,no,双手撑于半米左右高度的凳子上，间距比肩略宽，身体绷成一条直线，腰背挺直，双肩下沉，胸部发力，收紧腰腹，身体挺直,a135,,,,,,,
a136,屈腿后撑,shoulder,S,strongmuscle,10,3,no,home.office.gym.outside,3.6,36,no,双腿弯曲，下肢放松，双手撑于长凳边缘，绷紧肩部，手臂后侧发力做屈伸运动，背部沿长凳外侧上下移动,a136,,,,,,,
a137,小哑铃反握提肘,shoulder,S,strongmuscle,10,3,no,home.office.gym.outside,3.4,34,dumbbell,背部在保持挺直的情况下俯身，躯干与地面呈30°角；屈膝，反握小哑铃，拳心朝前，手臂自然下垂，屈肘，将小哑铃向身体斜后方拉，在动作顶部用力收缩背部，略作停顿，然后按原路回到起始状态,a137,,,,,,,
a138,平板交替摸肩,shoulder,S,strongmuscle,10,4,no,home.office.gym.outside,6,60,yogamat,呈俯卧撑姿势，收紧腰腹，身体不要出现左右晃动，双手交替支撑，非支撑手摸对侧肩,a50,,,,,,,
a139,小哑铃侧平举,shoulder,S,strongmuscle,10,2,no,home.office.gym.outside,3.4,34,dumbbell,自然站立，挺胸，收紧腹部，手臂侧平举，用肩部的力量带动手臂,a139,,,,,,,
a140,臀桥飞鸟,shoulder,S,strongmuscle,10,4,no,home.gym,3.2,32,dumbbell,躺在瑜伽垫上，屈膝，双腿分开与肩同宽，双脚脚跟触地，臀大肌发力向上顶起至大腿与躯干呈一条直线，保持住，上背部支撑，肩胛骨后缩下沉，双手对握哑铃，置于胸部正上方，拳心相对，双臂垂直于地面，肘关节微屈，打开双臂下放哑铃至地面附近，略作停顿，回到起始位置，下放时控制动作速度，哑铃不要碰地面；双臂收起时两只哑铃不要碰撞,a140,,,,,,,
a141,开合跳,shoulder,S,losefat,6,4,no,home.office.gym.outside,6.5,39,no,手臂上抬时吸气，下落时呼气，双脚开合跳跃，小腿尽可能放松，不可低头、仰头,a141,,,,,,,
a142,俯卧撑,shoulder,S,losefat,5,5,no,home.office.gym.outside,4,20,no,俯卧撑于垫上，腰背挺直，从侧面看身体成一条直线，双手撑于胸部两侧，间距比肩略宽，屈臂俯身至肘关节略高于躯干，然后伸臂起身还原,a142,,,,,,,
a143,左侧胸部拉伸,shoulder,S,streching,8,3,a144,home.office.gym.outside,4.5,36,no,左腿弓步在前，右手叉腰，左肩略微耸起，左侧小臂和手掌贴紧墙面，大臂平行于地面，上身前移且向右扭转，感受左侧胸部的牵拉感,a143,,,,,,,
a144,右侧胸部拉伸,shoulder,S,streching,8,3,a143,home.office.gym.outside,4.5,36,no,右腿弓步在前，左手叉腰，右肩略微耸起，右侧小臂和手掌贴紧墙面，大臂平行于地面，上身前移且向右扭转，感受右侧胸部的牵拉感,a144,,,,,,,
a145,手臂环绕,shoulder,SS,warmup,10,1,no,home.office.gym.outside,4,40,no,身体站直，双脚打开与肩同宽，保持身体稳定，双手前平举，手腕关节紧紧相靠，由上至下转动手腕，腕关节互相不要分开,a133,,,,,,,
a146,肩部深层激活,shoulder,SS,warmup,10,2,no,home.office.gym.outside,3,30,no,双腿分开坐在椅子上，身体保持正直，挺胸，收紧腹部，手臂前平举，握拳且拇指朝上，向后平行拉手臂，固定肩部向上转动手臂，拇指向后指,a134,,,,,,,
a147,上斜俯卧撑,shoulder,SS,strongmuscle,10,3,no,home.office.gym.outside,3,30,no,双手撑于半米左右高度的凳子上，间距比肩略宽，身体绷成一条直线，腰背挺直，双肩下沉，胸部发力，收紧腰腹，身体挺直,a135,,,,,,,
a148,屈腿后撑,shoulder,SS,strongmuscle,10,3,no,home.office.gym.outside,3.6,36,no,双腿弯曲，下肢放松，双手撑于长凳边缘，绷紧肩部，手臂后侧发力做屈伸运动，背部沿长凳外侧上下移动,a136,,,,,,,
a149,小哑铃反握提肘,shoulder,SS,strongmuscle,10,3,no,home.office.gym.outside,3.4,34,dumbbell,背部在保持挺直的情况下俯身，躯干与地面呈30°角；屈膝，反握小哑铃，拳心朝前，手臂自然下垂，屈肘，将小哑铃向身体斜后方拉，在动作顶部用力收缩背部，略作停顿，然后按原路回到起始状态,a137,,,,,,,
a150,平板交替摸肩,shoulder,SS,strongmuscle,10,4,no,home.office.gym.outside,6,60,yogamat,呈俯卧撑姿势，收紧腰腹，身体不要出现左右晃动，双手交替支撑，非支撑手摸对侧肩,a138,,,,,,,
a151,小哑铃侧平举,shoulder,SS,strongmuscle,10,2,no,home.office.gym.outside,3.4,34,dumbbell,自然站立，挺胸，收紧腹部，手臂侧平举，用肩部的力量带动手臂,a139,,,,,,,
a152,臀桥飞鸟,shoulder,SS,strongmuscle,10,4,no,home.gym,3.2,32,dumbbell,躺在瑜伽垫上，屈膝，双腿分开与肩同宽，双脚脚跟触地，臀大肌发力向上顶起至大腿与躯干呈一条直线，保持住，上背部支撑，肩胛骨后缩下沉，双手对握哑铃，置于胸部正上方，拳心相对，双臂垂直于地面，肘关节微屈，打开双臂下放哑铃至地面附近，略作停顿，回到起始位置，下放时控制动作速度，哑铃不要碰地面；双臂收起时两只哑铃不要碰撞,a140,,,,,,,
a153,开合跳,shoulder,SS,losefat,6,4,no,home.office.gym.outside,6.5,39,no,手臂上抬时吸气，下落时呼气，双脚开合跳跃，小腿尽可能放松，不可低头、仰头,a141,,,,,,,
a154,俯卧撑,shoulder,SS,losefat,5,5,no,home.office.gym.outside,4,20,no,俯卧撑于垫上，腰背挺直，从侧面看身体成一条直线，双手撑于胸部两侧，间距比肩略宽，屈臂俯身至肘关节略高于躯干，然后伸臂起身还原,a142,,,,,,,
a155,左侧胸部拉伸,shoulder,SS,streching,8,3,a155,home.office.gym.outside,4.5,36,no,左腿弓步在前，右手叉腰，左肩略微耸起，左侧小臂和手掌贴紧墙面，大臂平行于地面，上身前移且向右扭转，感受左侧胸部的牵拉感,a143,,,,,,,
a156,右侧胸部拉伸,shoulder,SS,streching,8,3,a154,home.office.gym.outside,4.5,36,no,右腿弓步在前，左手叉腰，右肩略微耸起，右侧小臂和手掌贴紧墙面，大臂平行于地面，上身前移且向右扭转，感受右侧胸部的牵拉感,a144,,,,,,,
a157,肩部深层激活,shoulder,SSS,warmup,10,2,no,home.office.gym.outside,3,30,no,双腿分开坐在椅子上，身体保持正直，挺胸，收紧腹部，手臂前平举，握拳且拇指朝上，向后平行拉手臂，固定肩部向上转动手臂，拇指向后指,a134,,,,,,,
a158,上斜俯卧撑,shoulder,SSS,strongmuscle,10,3,no,home.office.gym.outside,3,30,no,双手撑于半米左右高度的凳子上，间距比肩略宽，身体绷成一条直线，腰背挺直，双肩下沉，胸部发力，收紧腰腹，身体挺直,a135,,,,,,,
a159,屈腿后撑,shoulder,SSS,strongmuscle,10,3,no,home.office.gym.outside,3.6,36,no,双腿弯曲，下肢放松，双手撑于长凳边缘，绷紧肩部，手臂后侧发力做屈伸运动，背部沿长凳外侧上下移动,a136,,,,,,,
a160,小哑铃反握提肘,shoulder,SSS,strongmuscle,10,3,no,home.office.gym.outside,3.4,34,dumbbell,背部在保持挺直的情况下俯身，躯干与地面呈30°角；屈膝，反握小哑铃，拳心朝前，手臂自然下垂，屈肘，将小哑铃向身体斜后方拉，在动作顶部用力收缩背部，略作停顿，然后按原路回到起始状态,a137,,,,,,,
a161,平板交替摸肩,shoulder,SSS,strongmuscle,15,4,no,home.office.gym.outside,6,90,yogamat,呈俯卧撑姿势，收紧腰腹，身体不要出现左右晃动，双手交替支撑，非支撑手摸对侧肩,a138,,,,,,,
a162,小哑铃侧平举,shoulder,SSS,strongmuscle,10,2,no,home.office.gym.outside,3.4,34,dumbbell,自然站立，挺胸，收紧腹部，手臂侧平举，用肩部的力量带动手臂,a139,,,,,,,
a163,臀桥飞鸟,shoulder,SSS,strongmuscle,10,4,no,home.gym,3.2,32,dumbbell,躺在瑜伽垫上，屈膝，双腿分开与肩同宽，双脚脚跟触地，臀大肌发力向上顶起至大腿与躯干呈一条直线，保持住，上背部支撑，肩胛骨后缩下沉，双手对握哑铃，置于胸部正上方，拳心相对，双臂垂直于地面，肘关节微屈，打开双臂下放哑铃至地面附近，略作停顿，回到起始位置，下放时控制动作速度，哑铃不要碰地面；双臂收起时两只哑铃不要碰撞,a140,,,,,,,
a164,开合跳,shoulder,SSS,losefat,6,4,no,home.office.gym.outside,6.5,39,no,手臂上抬时吸气，下落时呼气，双脚开合跳跃，小腿尽可能放松，不可低头、仰头,a141,,,,,,,
a165,俯卧撑,shoulder,SSS,losefat,20,5,no,home.office.gym.outside,4,80,no,俯卧撑于垫上，腰背挺直，从侧面看身体成一条直线，双手撑于胸部两侧，间距比肩略宽，屈臂俯身至肘关节略高于躯干，然后伸臂起身还原,a142,,,,,,,
a166,左侧肩部拉伸,shoulder,SSS,streching,30,1,a167,home.office.gym.outside,1.5,45,no,身体站直，躯干稳定面向前方，左臂水平伸向左侧，右手套住右臂肘关节，右臂渐渐向左后侧用力,a166,,,,,,,
a167,右侧肩部拉伸,shoulder,SSS,streching,30,3,a166,home.office.gym.outside,1.5,45,no,身体站直，躯干稳定面向前方，右臂水平伸向左侧，左手套住右臂肘关节，左臂渐渐向左后侧用力,a167,,,,,,,
a168,上斜俯卧撑,chest,S,warmup,10,3,no,home.office.gym.outside,3,30,no,双手撑于半米左右高度的凳子上，间距比肩略宽，身体绷成一条直线，腰背挺直，双肩下沉，胸部发力，收紧腰腹，身体挺直,a135,,,,,,,
a169,墙壁支撑俯卧撑,chest,S,strongmuscle,20,3,no,home.office.gym.outside,3,60,no,面向墙壁双手撑墙，撑距略大于肩宽，双肘向内收，大臂与躯干大概成70度左右夹角，绷紧身体呈一条直线，双脚微微分开，屈肘，身体缓慢向墙壁靠近，至脸部接近墙面；稍作停顿，发力将身体推回原位，在最高点手肘微屈,a169,,,,,,,
a170,平躺屈腿握推,chest,S,strongmuscle,10,3,no,home.gym,3.2,32,dumbbell,平躺在瑜伽垫上，屈膝，双腿分开与肩同宽，双脚踩实，肩胛骨后缩下沉，使得上背部成一个平面贴于垫子上，收紧腹部，腰部微微离地，大臂贴紧身体两侧，小臂垂直地面，两只哑铃全程保持贴紧,a170,,,,,,,
a171,低难度俯卧撑,chest,S,strongmuscle,10,3,no,home.office.gym.outside,4,40,dumbbell,俯卧撑于垫上，腰背挺直，从侧面看身体成一条直线，双手撑于胸部两侧，间距比肩略宽,a171,,,,,,,
a172,平板交替摸肩,chest,S,strongmuscle,10,4,no,home.office.gym.outside,6,60,yogamat,呈俯卧撑姿势，收紧腰腹，身体不要出现左右晃动，双手交替支撑，非支撑手摸对侧肩,a138,,,,,,,
a173,跪姿前移俯卧撑,chest,S,strongmuscle,10,4,no,home.gym,9.3,93,yogamat,手、膝盖与前脚掌支撑于垫上，双手撑于胸部两侧，间距比肩略宽，腰背挺直，双臂推地，重心向后，臀部贴紧小腿，至手臂与躯干成一条直线，重心前移至躯干与大腿成一条直线，屈臂至肘关节却高于躯干，依次反复,a173,,,,,,,
a174,臀桥飞鸟,chest,S,strongmuscle,10,4,no,home.gym,3.2,32,dumbbell,躺在瑜伽垫上，屈膝，双腿分开与肩同宽，双脚脚跟触地，臀大肌发力向上顶起至大腿与躯干呈一条直线，保持住，上背部支撑，肩胛骨后缩下沉，双手对握哑铃，置于胸部正上方，拳心相对，双臂垂直于地面，肘关节微屈，打开双臂下放哑铃至地面附近，略作停顿，回到起始位置，下放时控制动作速度，哑铃不要碰地面；双臂收起时两只哑铃不要碰撞,a140,,,,,,,
a175,开合跳,chest,S,losefat,6,4,no,home.office.gym.outside,6.5,39,no,手臂上抬时吸气，下落时呼气，双脚开合跳跃，小腿尽可能放松，不可低头、仰头,a141,,,,,,,
a176,俯卧撑,chest,S,losefat,5,5,no,home.office.gym.outside,4,20,no,俯卧撑于垫上，腰背挺直，从侧面看身体成一条直线，双手撑于胸部两侧，间距比肩略宽，屈臂俯身至肘关节略高于躯干，然后伸臂起身还原,a142,,,,,,,
a177,左侧胸部拉伸,chest,S,streching,8,3,a178,home.office.gym.outside,4.5,36,no,左腿弓步在前，右手叉腰，左肩略微耸起，左侧小臂和手掌贴紧墙面，大臂平行于地面，上身前移且向右扭转，感受左侧胸部的牵拉感,a143,,,,,,,
a178,右侧胸部拉伸,chest,S,streching,8,3,a177,home.office.gym.outside,4.5,36,no,右腿弓步在前，左手叉腰，右肩略微耸起，右侧小臂和手掌贴紧墙面，大臂平行于地面，上身前移且向右扭转，感受右侧胸部的牵拉感,a144,,,,,,,
a179,手臂环绕,arm,S,warmup,10,1,no,home.office.gym.outside,4,40,no,身体站直，双脚打开与肩同宽，保持身体稳定，双手前平举，手腕关节紧紧相靠，由上至下转动手腕，腕关节互相不要分开,a133,,,,,,,
a180,附身屈臂,arm,S,strongmuscle,15,3,no,home.office.gym.outside,3.7,55.5,dumbbell,自然站立，膝盖微屈，俯身至后背与地面平行，挺直腰背，双手对握哑铃，大臂贴于身体两侧，发力伸直手臂，稍作停顿，屈肘至小臂与地面垂直,a169,,,,,,,
a181,平躺屈腿握推,arm,S,strongmuscle,10,3,no,home.gym,3.2,32,dumbbell,平躺在瑜伽垫上，屈膝，双腿分开与肩同宽，双脚踩实，肩胛骨后缩下沉，使得上背部成一个平面贴于垫子上，收紧腹部，腰部微微离地，大臂贴紧身体两侧，小臂垂直地面，两只哑铃全程保持贴紧,a170,,,,,,,
a182,小哑铃侧平举,arm,S,strongmuscle,10,2,no,home.office.gym.outside,3.4,34,dumbbell,自然站立，挺胸，收紧腹部，手臂侧平举，用肩部的力量带动手臂,a139,,,,,,,
a183,小哑铃反握提肘,arm,S,strongmuscle,10,3,no,home.office.gym.outside,3.4,34,dumbbell,背部在保持挺直的情况下俯身，躯干与地面呈30°角；屈膝，反握小哑铃，拳心朝前，手臂自然下垂，屈肘，将小哑铃向身体斜后方拉，在动作顶部用力收缩背部，略作停顿，然后按原路回到起始状态,a137,,,,,,,
a184,哑铃复合推举,arm,S,strongmuscle,8,4,no,home.office.gym.outside,12.5,100,dumbbell,自然站立，挺胸，收紧腹部，拳心朝上，将哑铃弯举到胸前，略作停顿，打开手肘的同时发力将哑铃向上推起，缓慢将哑铃按原动作轨迹下落至胸前，略作停顿，返回起始位,a184,,,,,,,
a185,上斜俯卧撑,arm,S,warmup,10,3,no,home.office.gym.outside,3,30,no,双手撑于半米左右高度的凳子上，间距比肩略宽，身体绷成一条直线，腰背挺直，双肩下沉，胸部发力，收紧腰腹，身体挺直,a135,,,,,,,
a186,开合跳,arm,S,losefat,6,4,no,home.office.gym.outside,6.5,39,no,手臂上抬时吸气，下落时呼气，双脚开合跳跃，小腿尽可能放松，不可低头、仰头,a141,,,,,,,
a187,低难度俯卧撑,arm,S,strongmuscle,10,3,no,home.office.gym.outside,4,40,dumbbell,俯卧撑于垫上，腰背挺直，从侧面看身体成一条直线，双手撑于胸部两侧，间距比肩略宽,a171,,,,,,,
a188,左侧肱三头肌拉伸,arm,S,streching,30,1,a189,home.office.gym.outside,1,30,no,身体站直，挺胸，左臂上举至耳边，肘关节最大幅度折叠，右臂扶在左侧肘关节上，向右后方拉,a143,,,,,,,
a189,右侧肱三头肌拉伸,arm,S,streching,30,1,a188,home.office.gym.outside,1,30,no,身体站直，挺胸，右臂上举至耳边，肘关节最大幅度折叠，左臂扶在右侧肘关节上，向左后方拉,a144,,,,,,,
a190,左侧小臂前侧拉伸,arm,S,streching,20,1,a191,home.office.gym.outside,1.5,30,no,侧对墙壁站立，双脚自然分开，左手手臂外旋，指尖朝下，手掌按在墙上，手肘朝下，头与身体向右扭转,a190,,,,,,,
a191,右侧小臂前侧拉伸,arm,S,streching,20,1,a190,home.office.gym.outside,1.5,30,no,侧对墙壁站立，双脚自然分开，y右手手臂外旋，指尖朝下，手掌按在墙上，手肘朝下，头与身体向左扭转,a191,,,,,,,
a192,上斜俯卧撑,chest,SS,warmup,10,3,no,home.office.gym.outside,3,30,no,双手撑于半米左右高度的凳子上，间距比肩略宽，身体绷成一条直线，腰背挺直，双肩下沉，胸部发力，收紧腰腹，身体挺直,a135,,,,,,,
a193,墙壁支撑俯卧撑,chest,SS,strongmuscle,20,3,no,home.office.gym.outside,3,60,no,面向墙壁双手撑墙，撑距略大于肩宽，双肘向内收，大臂与躯干大概成70度左右夹角，绷紧身体呈一条直线，双脚微微分开，屈肘，身体缓慢向墙壁靠近，至脸部接近墙面；稍作停顿，发力将身体推回原位，在最高点手肘微屈,a169,,,,,,,
a194,平躺屈腿握推,chest,SS,strongmuscle,10,3,no,home.gym,3.2,32,dumbbell,平躺在瑜伽垫上，屈膝，双腿分开与肩同宽，双脚踩实，肩胛骨后缩下沉，使得上背部成一个平面贴于垫子上，收紧腹部，腰部微微离地，大臂贴紧身体两侧，小臂垂直地面，两只哑铃全程保持贴紧,a170,,,,,,,
a195,低难度俯卧撑,chest,SS,strongmuscle,10,3,no,home.office.gym.outside,4,40,dumbbell,俯卧撑于垫上，腰背挺直，从侧面看身体成一条直线，双手撑于胸部两侧，间距比肩略宽,a171,,,,,,,
a196,平板交替摸肩,chest,SS,strongmuscle,10,4,no,home.office.gym.outside,6,60,yogamat,呈俯卧撑姿势，收紧腰腹，身体不要出现左右晃动，双手交替支撑，非支撑手摸对侧肩,a138,,,,,,,
a197,跪姿前移俯卧撑,chest,SS,strongmuscle,10,4,no,home.gym,9.3,93,yogamat,手、膝盖与前脚掌支撑于垫上，双手撑于胸部两侧，间距比肩略宽，腰背挺直，双臂推地，重心向后，臀部贴紧小腿，至手臂与躯干成一条直线，重心前移至躯干与大腿成一条直线，屈臂至肘关节却高于躯干，依次反复,a173,,,,,,,
a198,臀桥飞鸟,chest,SS,strongmuscle,10,4,no,home.gym,3.2,32,dumbbell,躺在瑜伽垫上，屈膝，双腿分开与肩同宽，双脚脚跟触地，臀大肌发力向上顶起至大腿与躯干呈一条直线，保持住，上背部支撑，肩胛骨后缩下沉，双手对握哑铃，置于胸部正上方，拳心相对，双臂垂直于地面，肘关节微屈，打开双臂下放哑铃至地面附近，略作停顿，回到起始位置，下放时控制动作速度，哑铃不要碰地面；双臂收起时两只哑铃不要碰撞,a140,,,,,,,
a199,开合跳,chest,SS,losefat,6,4,no,home.office.gym.outside,6.5,39,no,手臂上抬时吸气，下落时呼气，双脚开合跳跃，小腿尽可能放松，不可低头、仰头,a141,,,,,,,
a200,俯卧撑,chest,SS,losefat,5,5,no,home.office.gym.outside,4,20,no,俯卧撑于垫上，腰背挺直，从侧面看身体成一条直线，双手撑于胸部两侧，间距比肩略宽，屈臂俯身至肘关节略高于躯干，然后伸臂起身还原,a142,,,,,,,
a201,左侧胸部拉伸,chest,SS,streching,8,3,a178,home.office.gym.outside,4.5,36,no,左腿弓步在前，右手叉腰，左肩略微耸起，左侧小臂和手掌贴紧墙面，大臂平行于地面，上身前移且向右扭转，感受左侧胸部的牵拉感,a143,,,,,,,
a202,右侧胸部拉伸,chest,SS,streching,8,3,a177,home.office.gym.outside,4.5,36,no,右腿弓步在前，左手叉腰，右肩略微耸起，右侧小臂和手掌贴紧墙面，大臂平行于地面，上身前移且向右扭转，感受右侧胸部的牵拉感,a144,,,,,,,
a203,手臂环绕,arm,SS,warmup,10,1,no,home.office.gym.outside,4,40,no,身体站直，双脚打开与肩同宽，保持身体稳定，双手前平举，手腕关节紧紧相靠，由上至下转动手腕，腕关节互相不要分开,a133,,,,,,,
a204,附身屈臂,arm,SS,strongmuscle,15,3,no,home.office.gym.outside,3.7,55.5,dumbbell,自然站立，膝盖微屈，俯身至后背与地面平行，挺直腰背，双手对握哑铃，大臂贴于身体两侧，发力伸直手臂，稍作停顿，屈肘至小臂与地面垂直,a169,,,,,,,
a205,平躺屈腿握推,arm,SS,strongmuscle,10,3,no,home.gym,3.2,32,dumbbell,平躺在瑜伽垫上，屈膝，双腿分开与肩同宽，双脚踩实，肩胛骨后缩下沉，使得上背部成一个平面贴于垫子上，收紧腹部，腰部微微离地，大臂贴紧身体两侧，小臂垂直地面，两只哑铃全程保持贴紧,a170,,,,,,,
a206,小哑铃侧平举,arm,SS,strongmuscle,10,2,no,home.office.gym.outside,3.4,34,dumbbell,自然站立，挺胸，收紧腹部，手臂侧平举，用肩部的力量带动手臂,a139,,,,,,,
a207,小哑铃反握提肘,arm,SS,strongmuscle,10,3,no,home.office.gym.outside,3.4,34,dumbbell,背部在保持挺直的情况下俯身，躯干与地面呈30°角；屈膝，反握小哑铃，拳心朝前，手臂自然下垂，屈肘，将小哑铃向身体斜后方拉，在动作顶部用力收缩背部，略作停顿，然后按原路回到起始状态,a137,,,,,,,
a208,哑铃复合推举,arm,SS,strongmuscle,8,4,no,home.office.gym.outside,12.5,100,dumbbell,自然站立，挺胸，收紧腹部，拳心朝上，将哑铃弯举到胸前，略作停顿，打开手肘的同时发力将哑铃向上推起，缓慢将哑铃按原动作轨迹下落至胸前，略作停顿，返回起始位,a184,,,,,,,
a209,上斜俯卧撑,arm,SS,warmup,10,3,no,home.office.gym.outside,3,30,no,双手撑于半米左右高度的凳子上，间距比肩略宽，身体绷成一条直线，腰背挺直，双肩下沉，胸部发力，收紧腰腹，身体挺直,a135,,,,,,,
a210,开合跳,arm,SS,losefat,6,4,no,home.office.gym.outside,6.5,39,no,手臂上抬时吸气，下落时呼气，双脚开合跳跃，小腿尽可能放松，不可低头、仰头,a141,,,,,,,
a211,低难度俯卧撑,arm,SS,strongmuscle,10,3,no,home.office.gym.outside,4,40,dumbbell,俯卧撑于垫上，腰背挺直，从侧面看身体成一条直线，双手撑于胸部两侧，间距比肩略宽,a171,,,,,,,
a212,左侧肱三头肌拉伸,arm,SS,streching,30,1,a189,home.office.gym.outside,1,30,no,身体站直，挺胸，左臂上举至耳边，肘关节最大幅度折叠，右臂扶在左侧肘关节上，向右后方拉,a143,,,,,,,
a213,右侧肱三头肌拉伸,arm,SS,streching,30,1,a188,home.office.gym.outside,1,30,no,身体站直，挺胸，右臂上举至耳边，肘关节最大幅度折叠，左臂扶在右侧肘关节上，向左后方拉,a144,,,,,,,
a214,左侧小臂前侧拉伸,arm,SS,streching,20,1,a191,home.office.gym.outside,1.5,30,no,侧对墙壁站立，双脚自然分开，左手手臂外旋，指尖朝下，手掌按在墙上，手肘朝下，头与身体向右扭转,a190,,,,,,,
a215,右侧小臂前侧拉伸,arm,SS,streching,20,1,a190,home.office.gym.outside,1.5,30,no,侧对墙壁站立，双脚自然分开，y右手手臂外旋，指尖朝下，手掌按在墙上，手肘朝下，头与身体向左扭转,a191,,,,,,,
a216,上斜俯卧撑,chest,SSS,warmup,10,3,no,home.office.gym.outside,3,30,no,双手撑于半米左右高度的凳子上，间距比肩略宽，身体绷成一条直线，腰背挺直，双肩下沉，胸部发力，收紧腰腹，身体挺直,a135,,,,,,,
a217,墙壁支撑俯卧撑,chest,SSS,strongmuscle,20,3,no,home.office.gym.outside,3,60,no,面向墙壁双手撑墙，撑距略大于肩宽，双肘向内收，大臂与躯干大概成70度左右夹角，绷紧身体呈一条直线，双脚微微分开，屈肘，身体缓慢向墙壁靠近，至脸部接近墙面；稍作停顿，发力将身体推回原位，在最高点手肘微屈,a169,,,,,,,
a218,平躺屈腿握推,chest,SSS,strongmuscle,10,3,no,home.gym,3.2,32,dumbbell,平躺在瑜伽垫上，屈膝，双腿分开与肩同宽，双脚踩实，肩胛骨后缩下沉，使得上背部成一个平面贴于垫子上，收紧腹部，腰部微微离地，大臂贴紧身体两侧，小臂垂直地面，两只哑铃全程保持贴紧,a170,,,,,,,
a219,低难度俯卧撑,chest,SSS,strongmuscle,10,3,no,home.office.gym.outside,4,40,dumbbell,俯卧撑于垫上，腰背挺直，从侧面看身体成一条直线，双手撑于胸部两侧，间距比肩略宽,a171,,,,,,,
a220,平板交替摸肩,chest,SSS,strongmuscle,10,4,no,home.office.gym.outside,6,60,yogamat,呈俯卧撑姿势，收紧腰腹，身体不要出现左右晃动，双手交替支撑，非支撑手摸对侧肩,a138,,,,,,,
a221,跪姿前移俯卧撑,chest,SSS,strongmuscle,10,4,no,home.gym,9.3,93,yogamat,手、膝盖与前脚掌支撑于垫上，双手撑于胸部两侧，间距比肩略宽，腰背挺直，双臂推地，重心向后，臀部贴紧小腿，至手臂与躯干成一条直线，重心前移至躯干与大腿成一条直线，屈臂至肘关节却高于躯干，依次反复,a173,,,,,,,
a222,臀桥飞鸟,chest,SSS,strongmuscle,10,4,no,home.gym,3.2,32,dumbbell,躺在瑜伽垫上，屈膝，双腿分开与肩同宽，双脚脚跟触地，臀大肌发力向上顶起至大腿与躯干呈一条直线，保持住，上背部支撑，肩胛骨后缩下沉，双手对握哑铃，置于胸部正上方，拳心相对，双臂垂直于地面，肘关节微屈，打开双臂下放哑铃至地面附近，略作停顿，回到起始位置，下放时控制动作速度，哑铃不要碰地面；双臂收起时两只哑铃不要碰撞,a140,,,,,,,
a223,开合跳,chest,SSS,losefat,6,4,no,home.office.gym.outside,6.5,39,no,手臂上抬时吸气，下落时呼气，双脚开合跳跃，小腿尽可能放松，不可低头、仰头,a141,,,,,,,
a224,俯卧撑,chest,SSS,losefat,5,5,no,home.office.gym.outside,4,20,no,俯卧撑于垫上，腰背挺直，从侧面看身体成一条直线，双手撑于胸部两侧，间距比肩略宽，屈臂俯身至肘关节略高于躯干，然后伸臂起身还原,a142,,,,,,,
a225,左侧胸部拉伸,chest,SSS,streching,8,3,a178,home.office.gym.outside,4.5,36,no,左腿弓步在前，右手叉腰，左肩略微耸起，左侧小臂和手掌贴紧墙面，大臂平行于地面，上身前移且向右扭转，感受左侧胸部的牵拉感,a143,,,,,,,
a226,右侧胸部拉伸,chest,SSS,streching,8,3,a177,home.office.gym.outside,4.5,36,no,右腿弓步在前，左手叉腰，右肩略微耸起，右侧小臂和手掌贴紧墙面，大臂平行于地面，上身前移且向右扭转，感受右侧胸部的牵拉感,a144,,,,,,,
a227,手臂环绕,arm,SSS,warmup,10,1,no,home.office.gym.outside,4,40,no,身体站直，双脚打开与肩同宽，保持身体稳定，双手前平举，手腕关节紧紧相靠，由上至下转动手腕，腕关节互相不要分开,a133,,,,,,,
a228,附身屈臂,arm,SSS,strongmuscle,15,3,no,home.office.gym.outside,3.7,55.5,dumbbell,自然站立，膝盖微屈，俯身至后背与地面平行，挺直腰背，双手对握哑铃，大臂贴于身体两侧，发力伸直手臂，稍作停顿，屈肘至小臂与地面垂直,a169,,,,,,,
a229,平躺屈腿握推,arm,SSS,strongmuscle,10,3,no,home.gym,3.2,32,dumbbell,平躺在瑜伽垫上，屈膝，双腿分开与肩同宽，双脚踩实，肩胛骨后缩下沉，使得上背部成一个平面贴于垫子上，收紧腹部，腰部微微离地，大臂贴紧身体两侧，小臂垂直地面，两只哑铃全程保持贴紧,a170,,,,,,,
a230,小哑铃侧平举,arm,SSS,strongmuscle,10,2,no,home.office.gym.outside,3.4,34,dumbbell,自然站立，挺胸，收紧腹部，手臂侧平举，用肩部的力量带动手臂,a139,,,,,,,
a231,小哑铃反握提肘,arm,SSS,strongmuscle,15,3,no,home.office.gym.outside,3.4,51,dumbbell,背部在保持挺直的情况下俯身，躯干与地面呈30°角；屈膝，反握小哑铃，拳心朝前，手臂自然下垂，屈肘，将小哑铃向身体斜后方拉，在动作顶部用力收缩背部，略作停顿，然后按原路回到起始状态,a137,,,,,,,
